,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied
1,52,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,1,0,1,0,1,0,0,1,0,1
2,36,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,1,0,1,0,1,0,1,0,0,1
3,20,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,0,1,0,1,1,0,0,1,0,0
4,44,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,0,1,1,0,1,0,1,0,0,1
5,49,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,1,0,1,0,1,0,0,1,0,1
6,16,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,0,1,1,0,1,0,0,1,0,1
7,77,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,1,0,1,0,1,0,1,0,0,1
8,43,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,1,0,1,0,1,0,1,0,0,1
9,47,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,0,1,1,0,1,0,0,1,0,1
10,46,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,1,0,1,0,1,0,1,0,0,1
11,47,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,1,0,1,0,1,0,0,1,0,1
12,33,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,1,0,1,0,1,0,1,0,0,0
13,46,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,1,0,1,0,1,0,1,0,0,1
14,60,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,1,0,1,0,1,0,1,0,0,1
15,52,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,1,0,1,0,1,0,1,0,0,1
16,50,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,0,1,1,0,0,1,0,1,0,0
17,31,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,1,0,1,0,1,0,0,1,0,0
18,52,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,0,1,1,0,0,1,0,0,1,1
19,43,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,1,0,1,0,0,1,0,1,0,0
20,50,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,1,0,1,0,1,0,1,0,0,1
21,60,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,0,1,1,0,1,0,1,0,0,1
22,43,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,0,1,1,0,0,1,0,1,0,0
23,55,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,0,1,1,0,0,1,0,1,0,0
24,25,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,0,1,1,0,1,0,1,0,0,1
25,30,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,1,0,0,1,1,0,0,1,0,0
26,62,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,0,1,1,0,0,1,0,1,0,0
27,24,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,0,1,1,0,1,0,1,0,0,1
28,22,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,1,0,1,0,1,0,0,1,0,1
29,44,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,0,1,1,0,1,0,1,0,0,1
30,51,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,0,1,1,0,1,0,0,1,0,0
31,43,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,0,1,1,0,0,1,1,0,0,0
32,56,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,1,0,1,0,1,0,0,1,0,1
33,41,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,0,1,0,1,1,0,0,1,0,0
34,22,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,0,1,1,0,0,1,0,1,0,0
35,53,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,1,0,1,0,1,0,0,1,0,1
36,12,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,0,1,1,0,0,1,0,1,0,0
37,39,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,1,0,1,0,1,0,1,0,0,1
38,55,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,1,0,1,0,1,0,1,0,0,1
39,32,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,1,0,0,1,1,0,1,0,0,0
40,40,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,1,0,1,0,0,1,0,1,0,0
41,42,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,1,0,0,1,1,0,1,0,0,0
42,24,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,0,1,0,1,1,0,0,1,0,1
43,22,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,0,1,1,0,1,0,1,0,0,0
44,28,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,1,0,1,0,1,0,1,0,0,1
45,36,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,1,0,1,0,1,0,0,0,1,0
46,62,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,1,0,1,0,1,0,0,1,0,1
47,60,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,1,0,1,0,1,0,1,0,0,1
48,59,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,1,0,1,0,0,1,0,1,0,0
49,49,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,1,0,1,0,1,0,1,0,0,1
50,44,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,1,0,1,0,0,1,0,1,0,0
51,58,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,1,0,1,0,0,1,0,0,1,0
52,24,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,0,1,0,1,1,0,1,0,0,1
53,53,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,1,0,1,0,1,0,0,1,0,1
54,56,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,0,1,1,0,1,0,0,1,0,0
55,30,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,1,0,1,0,1,0,1,0,0,1
56,27,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,0,1,0,1,1,0,1,0,0,0
57,27,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,0,1,1,0,1,0,1,0,0,1
58,67,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,1,0,1,0,0,1,0,1,0,0
59,32,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,1,0,1,0,0,1,0,1,0,0
60,36,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,0,1,0,1,1,0,0,1,0,0
61,44,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,0,1,1,0,1,0,1,0,0,1
62,70,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,1,0,1,0,0,1,0,1,0,0
63,55,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,1,0,1,0,0,1,0,1,0,0
64,66,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,0,1,1,0,1,0,0,1,0,1
65,19,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,1,0,1,0,1,0,1,0,0,1
66,53,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,1,0,1,0,0,1,0,0,1,0
67,22,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,0,1,1,0,1,0,1,0,0,0
68,69,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,1,0,1,0,0,1,0,1,0,0
69,42,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,1,0,1,0,1,0,1,0,0,1
70,41,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,1,0,1,0,1,0,1,0,0,1
71,53,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,1,0,1,0,0,1,1,0,0,0
72,35,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,0,1,1,0,1,0,1,0,0,0
73,54,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,1,0,1,0,0,1,1,0,0,0
74,44,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,0,1,1,0,1,0,1,0,0,1
75,26,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,1,0,0,1,1,0,0,0,1,0
76,44,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,1,0,1,0,0,1,0,1,0,0
77,24,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,1,0,0,1,1,0,0,1,0,0
78,54,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,1,0,1,0,0,1,0,1,0,0
79,42,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,0,1,1,0,1,0,0,0,1,0
80,36,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,0,1,0,1,1,0,0,1,0,0
81,61,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,1,0,1,0,1,0,1,0,0,1
82,50,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,1,0,1,0,0,1,0,1,0,0
83,27,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,0,1,1,0,1,0,1,0,0,1
84,55,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,0,1,1,0,1,0,1,0,0,0
85,21,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,0,1,0,1,1,0,0,1,0,0
86,31,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,1,0,1,0,0,1,1,0,0,0
87,37,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,1,0,0,1,1,0,0,1,0,0
88,50,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,1,0,1,0,1,0,1,0,0,1
89,21,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,1,0,1,0,0,1,0,1,0,0
90,53,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,1,0,1,0,1,0,0,1,0,0
91,45,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,0,1,1,0,1,0,1,0,0,1
92,42,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,1,0,0,1,1,0,0,1,0,0
93,59,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,0,1,1,0,1,0,1,0,0,1
94,54,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,1,0,1,0,1,0,0,1,0,0
95,46,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,1,0,1,0,1,0,1,0,0,1
96,52,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,1,0,1,0,0,1,0,0,1,0
97,38,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,1,0,1,0,0,1,0,1,0,0
98,35,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,0,1,1,0,1,0,1,0,0,1
99,41,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,1,0,1,0,0,1,0,1,0,0
100,40,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,1,0,0,1,1,0,1,0,0,0
101,36,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,1,0,0,1,1,0,0,1,0,0
102,67,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,0,1,1,0,0,1,0,1,0,0
103,38,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,1,0,1,0,0,1,0,1,0,1
104,50,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,1,0,1,0,0,1,0,1,0,0
105,50,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,0,1,1,0,1,0,1,0,0,1
106,54,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,0,1,1,0,1,0,1,0,0,1
107,56,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,0,1,1,0,1,0,1,0,0,1
108,38,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,0,1,1,0,0,1,0,1,0,0
109,7,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,1,0,1,0,0,1,0,1,0,0
110,32,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,1,0,1,0,1,0,1,0,0,1
111,45,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,0,1,1,0,1,0,0,1,0,0
112,25,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,0,1,0,1,1,0,0,1,0,0
113,45,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,1,0,1,0,1,0,1,0,0,1
114,34,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,0,1,1,0,0,1,0,1,0,0
115,20,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,0,1,1,0,0,1,0,0,1,0
116,36,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,1,0,0,1,1,0,0,1,0,0
117,36,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,0,1,0,1,1,0,0,1,0,0
118,27,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,0,1,1,0,1,0,1,0,0,1
119,40,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,0,1,1,0,0,1,0,1,0,0
120,31,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,0,1,1,0,1,0,1,0,0,1
121,25,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,0,1,1,0,1,0,0,0,1,1
122,42,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,0,1,1,0,1,0,1,0,0,1
123,45,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,1,0,1,0,1,0,0,1,0,1
124,59,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,0,1,1,0,0,1,1,0,0,0
125,34,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,0,1,1,0,0,1,0,1,0,0
126,22,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,1,0,1,0,0,1,0,1,0,0
127,21,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,0,1,1,0,0,1,0,1,0,0
